"id","code","name","account_type","reconcile"
"account_py_1308","1.02.04.08","MEJORAS EN PREDIO AJENO","asset_fixed","False"
"account_py_1397","1.02.04.97","BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90","asset_fixed","False"
"account_py_1398","1.02.04.98","BIENES EN ARRENDAMIENTO FINANCIERO","asset_fixed","False"
"account_py_1399","1.02.04.99","DEPRECIACIÓN ACUMULADA","asset_fixed","False"
"account_py_1401","1.02.05.01","DERECHOS FIDUCIARIOS","asset_non_current","False"
"account_py_1501","1.02.06.01","GASTOS DE CONSTITUCIÓN","asset_non_current","False"
"account_py_1502","1.02.06.02","GASTOS DE ORGANIZACIÓN","asset_non_current","False"
"account_py_1503","1.02.06.03","GASTOS DE DESARROLLO","asset_non_current","False"
"account_py_1504","1.02.06.04","GASTOS DE PROYECTOS DE INVERSIÓN","asset_non_current","False"
"account_py_1599","1.02.06.99","AMORTIZACIÓN ACUMULADA CARGOS DIFERIDOS","asset_non_current","False"
"account_py_1601","1.02.07.01","LICENCIAS, MARCAS Y PATENTES","asset_non_current","False"
"account_py_1602","1.02.07.02","FRANQUICIAS","asset_non_current","False"
"account_py_1699","1.02.07.99","AMORTIZACIÓN ACUMULADA INTANGIBLES","asset_non_current","False"
"account_py_2001","2.01.01.01","PROVEEDORES LOCALES","liability_payable","True"
"account_py_2002","2.01.01.02","PROVEEDORES DEL EXTERIOR","liability_payable","True"
"account_py_2003","2.01.01.03","INTERESES A PAGAR A PROVEEDORES","liability_current","False"
"account_py_2004","2.01.01.04","OTROS ACREEDORES","liability_current","False"
"account_py_2101","2.01.02.01","PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS","liability_current","False"
"account_py_2102","2.01.02.02","PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS","liability_current","False"
"account_py_2103","2.01.02.03","ARRENDAMIENTOS FINANCIEROS","liability_current","False"
"account_py_2104","2.01.02.04","OTROS PRÉSTAMOS A PAGAR","liability_current","False"
"account_py_2105","2.01.02.05","INTERESES A PAGAR","liability_current","False"
"account_py_220101","2.01.03.01.01","IMPUESTO A LA RENTA A PAGAR","liability_current","False"
"account_py_220102","2.01.03.01.02","IVA A PAGAR","liability_current","False"
"account_py_220103","2.01.03.01.03","RETENCIONES DE IMPUESTOS A INGRESAR","liability_current","False"
"account_py_2202","2.01.03.02","OBLIGACIONES LABORALES Y CARGAS SOCIALES","liability_current","False"
"account_py_2203","2.01.03.03","DIVIDENDOS A PAGAR","liability_current","False"
"account_py_2204","2.01.03.04","PASIVOS FIDUCIARIOS","liability_current","False"
"account_py_2301","2.01.04.01","OBLIGACIONES POR GARANTÍAS OTORGADAS","liability_current","False"
"account_py_2302","2.01.04.02","OBLIGACIONES LEGALES POR LITIGIOS","liability_current","False"
"account_py_2303","2.01.04.03","PROVISIÓN PARA BENEFICIOS A EMPLEADOS","liability_current","False"
"account_py_2401","2.01.05.01","ANTICIPOS DE CLIENTES","liability_current","False"
"account_py_2402","2.01.05.02","SUBVENCIONES","liability_current","False"
"account_py_2403","2.01.05.03","DERECHOS DE FIDELIZACIÓN DE CLIENTES","liability_current","False"
"account_py_2404","2.01.05.04","ALQUILERES COBRADOS POR ADELANTADO","liability_current","False"
"account_py_2501","2.02.01.01","PROVEEDORES LOCALES L/P","liability_non_current","True"
"account_py_2502","2.02.01.02","PROVEEDORES DEL EXTERIOR L/P","liability_non_current","True"
"account_py_2503","2.02.01.03","INTERESES A PAGAR A PROVEEDORES L/P","liability_non_current","False"
"account_py_2504","2.02.01.04","OTROS ACREEDORES L/P","liability_non_current","False"
"account_py_2601","2.02.02.01","PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS L/P","liability_non_current","False"
"account_py_2602","2.02.02.02","PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS L/P","liability_non_current","False"
"account_py_2603","2.02.02.03","ARRENDAMIENTOS FINANCIEROS L/P","liability_non_current","False"
"account_py_2604","2.02.02.04","OTROS PRÉSTAMOS L/P","liability_non_current","False"
"account_py_2605","2.02.02.05","INTERESES A PAGAR L/P","liability_non_current","False"
"account_py_2701","2.02.03.01","PASIVOS POR IMPUESTOS DIFERIDOS","liability_non_current","False"
"account_py_2702","2.02.03.02","PASIVOS FIDUCIARIOS L/P","liability_non_current","False"
"account_py_2801","2.02.04.01","OBLIGACIONES POR GARANTÍAS OTORGADAS L/P","liability_non_current","False"
"account_py_2802","2.02.04.02","OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES","liability_non_current","False"
"account_py_2803","2.02.04.03","PROVISIONES PARA BENEFICIOS A EMPLEADOS L/P","liability_non_current","False"
"account_py_2901","2.02.05.01","ANTICIPOS DE CLIENTES L/P","liability_non_current","False"
"account_py_2902","2.02.05.02","SUBVENCIONES L/P","liability_non_current","False"
"account_py_2903","2.02.05.03","DERECHO DE FIDELIZACIÓN DE CLIENTES L/P","liability_non_current","False"
"account_py_2904","2.02.05.04","ALQUILERES COBRADOS POR ADELANTADO L/P","liability_non_current","False"
"account_py_3001","3.01.01.01","CAPITAL SUSCRIPTO","equity","False"
"account_py_3002","3.01.01.02","CAPITAL A INTEGRAR","equity","False"
"account_py_3101","3.02.01","RESERVA LEGAL","equity","False"
"account_py_320201","3.02.02.01","RESERVA DE REVALÚO FISCAL","equity","False"
"account_py_320202","3.02.02.02","RESERVA DE REVALÚO TÉCNICO","equity","False"
"account_py_3203","3.02.03","OTRAS RESERVAS","equity","False"
"account_py_3301","3.03.01","RESULTADOS ACUMULADOS","equity","False"
"account_py_3302","3.03.02","RESULTADO DEL EJERCICIO","equity_unaffected","False"
"account_py_40101_income","4.01.01","VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA","income","False"
"account_py_40102_income","4.01.02","VENTAS DE MERCADERÍAS EXENTAS DEL IVA","income","False"
"account_py_40201_income","4.02.01","VENTAS DE SOJA Y SUS DERIVADOS","income","False"
"account_py_40202_income","4.02.02","VENTAS DE MAÍZ","income","False"
"account_py_40203_income","4.02.03","VENTAS DE TRIGO","income","False"
"account_py_40204_income","4.02.04","OTROS PRODUCTOS AGRÍCOLAS","income","False"
"account_py_403_income","4.03","VENTAS DE GANADO","income","False"
"account_py_404_income","4.04","VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","income","False"
"account_py_405_income","4.05","VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","income","False"
"account_py_406_income","4.06.01","EXPORTACIONES DE SOJA Y SUS DERIVADOS","income","False"
"account_py_40602_income","4.06.02","EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS","income","False"
"account_py_40701_income","4.07.01","EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS","income","False"
"account_py_40702_income","4.07.02","EXPORTACIONES DE MAQUINARIAS Y EQUIPOS","income","False"
"account_py_40703_income","4.07.03","EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS","income","False"
"account_py_408_income","4.08","EXPORTACIONES DE OTROS PRODUCTOS","income","False"
"account_py_409_income","4.09","VENTAS DE SERVICIOS GRAVADOS","income","False"
"account_py_41001_income","4.10.01","VENTAS RÉGIMEN DE TURISMO","income","False"
"account_py_41002_income","4.10.02","VENTAS ZONA FRANCA","income","False"
"account_py_41003_income","4.10.03","VENTAS RÉGIMEN DE MAQUILA","income","False"
"account_py_41004_income","4.10.04","VENTAS OTROS REGÍMENES ESPECIALES","income","False"
"account_py_411_income","4.11","OTRAS VENTAS EXENTAS DEL IVA","income","False"
"account_py_498_income","4.98","DESCUENTOS CONCEDIDOS","income","False"
"account_py_499_income","4.99","DEVOLUCIONES","income","False"
"account_py_50101_expense","5.01.01","COSTO DE MERCADERÍAS GRAVADAS POR EL IVA","expense","False"
"account_py_50102_expense","5.01.02","COSTO DE MERCADERÍAS EXENTAS DEL IVA","expense","False"
"account_py_50201_expense","5.02.01","COSTO DE VENTAS DE SOJA Y SUS DERIVADOS","expense","False"
"account_py_50202_expense","5.02.02","COSTO DE VENTAS DE MAÍZ","expense","False"
"account_py_50203_expense","5.02.03","COSTO DE VENTAS DE TRIGO","expense","False"
"account_py_50204_expense","5.02.04","COSTO DE VENTAS DE OTROS PRODUCTOS AGRÍCOLAS","expense","False"
"account_py_503_expense","5.03","COSTO DE VENTAS DE GANADO","expense","False"
"account_py_504_expense","5.04","COSTO DE VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","expense","False"
"account_py_505_expense","5.05","COSTO DE VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","expense","False"
"account_py_50601_expense","5.06.01","COSTO DE SOJA Y SUS DERIVADOS EXPORTADOS","expense","False"
