gitgCodigo;Nome;Tipo
1.02.06.02;GASTOS DE ORGANIZACIÓN;Analítica
1.02.06.03;GASTOS DE DESARROLLO;Analítica
1.02.06.04;GASTOS DE PROYECTOS DE INVERSIÓN;Analítica
1.02.06.99;(-) AMORTIZACIÓN ACUMULADA;Analítica
1.02.07;ACTIVOS INTANGIBLES;Sintética
1.02.07.01;"LICENCIAS, MARCAS Y PATENTES";Analítica
1.02.07.02;FRANQUICIAS;Analítica
1.02.07.99;(-) AMORTIZACIÓN ACUMULADA;Analítica
2;PASIVO;Sintética
2.01;PASIVO CORRIENTE;Sintética
2.01.01;ACREEDORES COMERCIALES;Sintética
2.01.01.01;PROVEEDORES LOCALES;Analítica
2.01.01.02;PROVEEDORES DEL EXTERIOR;Analítica
2.01.01.03;INTERESES A PAGAR A PROVEEDORES;Analítica
2.01.01.04;OTROS ACREEDORES;Analítica
2.01.02;DEUDAS FINANCIERAS;Sintética
2.01.02.01;PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS;Analítica
2.01.02.02;"PRÉSTAMOS DEL DUEÑO, SOCIOS O  ENTIDADES VINCULADAS";Analítica
2.01.02.03;ARRENDAMIENTOS FINANCIEROS;Analítica
2.01.02.04;OTROS PRÉSTAMOS A PAGAR;Analítica
2.01.02.05;INTERESES A PAGAR;Analítica
2.01.03;OTRAS CUENTAS POR PAGAR;Sintética
2.01.03.01;DEUDAS FISCALES CORRIENTES;Sintética
2.01.03.01.01;IMPUESTO A LA RENTA A PAGAR;Analítica
2.01.03.01.02;IVA A PAGAR;Analítica
2.01.03.01.03;RETENCIONES DE IMPUESTOS A INGRESAR;Analítica
2.01.03.02;OBLIGACIONES LABORALES Y CARGAS SOCIALES;Analítica
2.01.03.03;DIVIDENDOS A PAGAR;Analítica
2.01.03.04;PASIVOS FIDUCIARIOS;Analítica
2.01.04;PROVISIONES;Sintética
2.01.04.01;OBLIGACIONES POR GARANTÍAS OTORGADAS;Analítica
2.01.04.02;OBLIGACIONES LEGALES POR LITIGIOS;Analítica
2.01.04.03;PROVISIÓN PARA BENEFICIOS A EMPLEADOS;Analítica
2.01.05;INGRESOS DIFERIDOS;Sintética
2.01.05.01;ANTICIPOS DE CLIENTES;Analítica
2.01.05.02;SUBVENCIONES;Analítica
2.01.05.03;DERECHOS DE FIDELIZACIÓN DE CLIENTES;Analítica
2.01.05.04;ALQUILERES COBRADOS POR ADELANTADO;Analítica
2.02;PASIVO  NO CORRIENTE;Sintética
2.02.01;ACREEDORES COMERCIALES A LARGO PLAZO;Sintética
2.02.01.01;PROVEEDORES LOCALES;Analítica
2.02.01.02;PROVEEDORES DEL EXTERIOR;Analítica
2.02.01.03;INTERESES A  PAGAR A PROVEEDORES;Analítica
2.02.01.04;OTROS ACREEDORES;Analítica
2.02.02;DEUDAS FINANCIERAS A LARGO PLAZO;Sintética
2.02.02.01;PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS;Analítica
2.02.02.02;"PRÉSTAMOS DEL DUEÑO, SOCIOS O  ENTIDADES VINCULADAS";Analítica
2.02.02.03;ARRENDAMIENTOS FINANCIEROS;Analítica
2.02.02.04;OTROS PRÉSTAMOS;Analítica
2.02.02.05;INTERESES A PAGAR;Analítica
2.02.03;OTRAS CUENTAS POR PAGAR;Sintética
2.02.03.01;PASIVOS POR IMPUESTOS DIFERIDOS;Analítica
2.02.03.02;PASIVOS FIDUCIARIOS;Analítica
2.02.04;PROVISIONES PARA OBLIGACIONES A LARGO PLAZO;Sintética
2.02.04.01;OBLIGACIONES POR GARANTÍAS OTORGADAS;Analítica
2.02.04.02;OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES;Analítica
2.02.04.03;PROVISIONES PARA BENEFICIOS A EMPLEADOS;Analítica
2.02.05;INGRESOS DIFERIDOS A LARGO PLAZO;Sintética
2.02.05.01;ANTICIPOS DE CLIENTES;Analítica
2.02.05.02;SUBVENCIONES;Analítica
2.02.05.03;DERECHO DE FIDELIZACIÓN DE CLIENTES;Analítica
2.02.05.04;ALQUILERES COBRADOS POR ADELANTADO;Analítica
3;PATRIMONIO NETO;Sintética
3.01;CAPITAL;Sintética
3.01.01;CAPITAL INTEGRADO;Sintética
3.01.01.01;CAPITAL SUSCRIPTO;Analítica
3.01.01.02;(-) CAPITAL A INTEGRAR;Analítica
3.02;RESERVAS;Sintética
3.02.01;RESERVA LEGAL;Analítica
3.02.02;RESERVA DE REVALÚO;Sintética
3.02.02.01;RESERVA DE REVALÚO FISCAL;Analítica
3.02.02.02;RESERVA DE REVALÚO TÉCNICO;Analítica
3.02.03;OTRAS RESERVAS;Analítica
3.03;RESULTADOS;Sintética
3.03.01;RESULTADOS ACUMULADOS;Analítica
3.03.02;RESULTADO DEL EJERCICIO;Analítica
4;INGRESOS OPERATIVOS;Sintética
