id,name,code,account_type,chart_template_id:id,reconcile
account_py_1299,PREVISIÓN POR DEVALUACIÓN DE INVERSIONES,1.02.03.99,asset_non_current,py_chart_template,False
account_py_1301,INMUEBLES,1.02.04.01,asset_fixed,py_chart_template,False
account_py_1302,RODADOS / TRANSPORTES,1.02.04.02,asset_fixed,py_chart_template,False
account_py_1303,"MUEBLES, ÚTILES Y ENSERES",1.02.04.03,asset_fixed,py_chart_template,False
account_py_1304,MAQUINARIAS,1.02.04.04,asset_fixed,py_chart_template,False
account_py_1305,EQUIPOS,1.02.04.05,asset_fixed,py_chart_template,False
account_py_1306,HERRAMIENTAS,1.02.04.06,asset_fixed,py_chart_template,False
account_py_1307,BIENES FUERA DE OPERACIÓN,1.02.04.07,asset_fixed,py_chart_template,False
account_py_1308,MEJORAS EN PREDIO AJENO,1.02.04.08,asset_fixed,py_chart_template,False
account_py_1397,BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90,1.02.04.97,asset_fixed,py_chart_template,False
account_py_1398,BIENES EN ARRENDAMIENTO FINANCIERO,1.02.04.98,asset_fixed,py_chart_template,False
account_py_1399,DEPRECIACIÓN ACUMULADA,1.02.04.99,asset_fixed,py_chart_template,False
account_py_1401,DERECHOS FIDUCIARIOS,1.02.05.01,asset_non_current,py_chart_template,False
account_py_1501,GASTOS DE CONSTITUCIÓN,1.02.06.01,asset_non_current,py_chart_template,False
account_py_1502,GASTOS DE ORGANIZACIÓN,1.02.06.02,asset_non_current,py_chart_template,False
account_py_1503,GASTOS DE DESARROLLO,1.02.06.03,asset_non_current,py_chart_template,False
account_py_1504,GASTOS DE PROYECTOS DE INVERSIÓN,1.02.06.04,asset_non_current,py_chart_template,False
account_py_1599,AMORTIZACIÓN ACUMULADA CARGOS DIFERIDOS,1.02.06.99,asset_non_current,py_chart_template,False
account_py_1601,"LICENCIAS, MARCAS Y PATENTES",1.02.07.01,asset_non_current,py_chart_template,False
account_py_1602,FRANQUICIAS,1.02.07.02,asset_non_current,py_chart_template,False
account_py_1699,AMORTIZACIÓN ACUMULADA INTANGIBLES,1.02.07.99,asset_non_current,py_chart_template,False
account_py_2001,PROVEEDORES LOCALES,2.01.01.01,liability_payable,py_chart_template,True
account_py_2002,PROVEEDORES DEL EXTERIOR,2.01.01.02,liability_payable,py_chart_template,True
account_py_2003,INTERESES A PAGAR A PROVEEDORES,2.01.01.03,liability_current,py_chart_template,False
account_py_2004,OTROS ACREEDORES,2.01.01.04,liability_current,py_chart_template,False
account_py_2101,PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS,2.01.02.01,liability_current,py_chart_template,False
account_py_2102,"PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS",2.01.02.02,liability_current,py_chart_template,False
account_py_2103,ARRENDAMIENTOS FINANCIEROS,2.01.02.03,liability_current,py_chart_template,False
account_py_2104,OTROS PRÉSTAMOS A PAGAR,2.01.02.04,liability_current,py_chart_template,False
account_py_2105,INTERESES A PAGAR,2.01.02.05,liability_current,py_chart_template,False
account_py_220101,IMPUESTO A LA RENTA A PAGAR,2.01.03.01.01,liability_current,py_chart_template,False
account_py_220102,IVA A PAGAR,2.01.03.01.02,liability_current,py_chart_template,False
account_py_220103,RETENCIONES DE IMPUESTOS A INGRESAR,2.01.03.01.03,liability_current,py_chart_template,False
account_py_2202,OBLIGACIONES LABORALES Y CARGAS SOCIALES,2.01.03.02,liability_current,py_chart_template,False
account_py_2203,DIVIDENDOS A PAGAR,2.01.03.03,liability_current,py_chart_template,False
account_py_2204,PASIVOS FIDUCIARIOS,2.01.03.04,liability_current,py_chart_template,False
account_py_2301,OBLIGACIONES POR GARANTÍAS OTORGADAS,2.01.04.01,liability_current,py_chart_template,False
account_py_2302,OBLIGACIONES LEGALES POR LITIGIOS,2.01.04.02,liability_current,py_chart_template,False
account_py_2303,PROVISIÓN PARA BENEFICIOS A EMPLEADOS,2.01.04.03,liability_current,py_chart_template,False
account_py_2401,ANTICIPOS DE CLIENTES,2.01.05.01,liability_current,py_chart_template,False
account_py_2402,SUBVENCIONES,2.01.05.02,liability_current,py_chart_template,False
account_py_2403,DERECHOS DE FIDELIZACIÓN DE CLIENTES,2.01.05.03,liability_current,py_chart_template,False
