Код;Наименование
2619;Юристи, н.д.
262;Библиотекари, архивисти и уредници
2621;Архивисти и уредници
2622;Библиотекари и сродни на тях специалисти
263;Специалисти по обществени науки и религиозни специалисти
2631;Икономисти
2632;Социолози, антрополози и сродни на тях
2633;Философи, историци и политолози
2634;Психолози
2635;Специалисти по социална работа и консултиране
2636;Духовници и специалисти по религии
264;Писатели, журналисти и езиковеди
2641;Писатели и сродни на тях
2642;Журналисти
2643;Преводачи и други езиковеди
265;Творци и изпълнители
2651;Склуптори, художници и сродни на тях
2652;Музиканти, певци и композитори
2653;Танцьори и хореографи
2654;Филмови и театрални режисьори и продуценти и сродни на тях
2655;Актьори
2656;Радио-, телевизионни и други говорители
2659;Творци и изпълнители, н.д.
3;ТЕХНИЦИ И ПРИЛОЖНИ СПЕЦИАЛИСТИ
31;ПРИЛОЖНИ СПЕЦИАЛИСТИ В ПРИРОДНИТЕ И ТЕХНИЧЕСКИТЕ НАУКИ
311;Приложни специалисти във физическите и техническите науки
3111;Техници в областта на химическите и физическите науки
3112;Строителни техници
3113;Електротехници
3114;Електронни техници
3115;Машинни техници
3116;Химик-технолози
3117;Минни и металургични техници
3118;Чертожници
3119;Приложни специалисти във физическите и техническите науки, н.д.
312;Приложни специалисти с контролни функции в добивната и преработващата промишленост и строителството
3121;Приложни специалисти с контролни функции в добивната промишленост
3122;Приложни специалисти с контролни функции в преработващата промишленост
3123;Приложни специалисти с контролни функции в строителството
313;Техници по контрол на производствени процеси
3131;Оператори в енергийното производство
3132;Оператори на пречиствателни станции за отпадъчни води и инсинератори
3133;Оператори по контрол на процеси в химическото производство
3134;Оператори в заводи за преработване на нефт и природен газ
3135;Оператори по контрол на процеси в металургичното производство
3139;Техници по контрол на производствени процеси, н.д.
314;Природонаучни техници и сродни на тях специалисти
3141;Природонаучни техници (без медицинските)
3142;Агротехници
3143;Техници в горското стопанство
315;Корабни и авиационни специалисти
3151;Корабни механици и техници
3152;Корабни палубни офицери и пилоти
3153;Самолетни пилоти и сродни на тях специалисти
3154;Ръководители на полети
3155;Техници по сигурността на въздушния трафик
32;ПРИЛОЖНИ СПЕЦИАЛИСТИ В ЗДРАВЕОПАЗВАНЕТО
321;Приложни специалисти в медицината и фармацията
3211;Оператори на медицинска апаратура за образна диагностика и терапия
3212;Приложни специалисти в медицински и патологични лаборатории
3213;Помощник-фармацевти
3214;Ортопедични техници, зъботехници и сродни на тях
322;Помощник-медицински сестри и помощник-акушерки
3221;Помощник-медицински сестри
3222;Помощник-акушерки
323;Приложни специалисти в областта на традиционната и комплементарната медицина
3230;Приложни специалисти в областта на традиционната и комплементарната медицина
324;Ветеринарни техници и асистенти
3240;Ветеринарни техници и асистенти
325;Други приложни специалисти в здравеопазването
3251;Асистенти и терапевти в денталната медицина
3252;Специалисти по медицински досиета и здравна информация
3253;Здравни работници в общности
3254;Оптици техници
3255;Приложни специалисти във физиотерапията
3256;Медицински асистенти
3257;Инспектори по медицинска екология, здравословни и безопасни условия на труд и сродни на тях
3258;Приложни специалисти в оказването на спешна медицинска помощ
3259;Други приложни специалисти в здравеопазването, н.д.
33;СТОПАНСКИ И АДМИНИСТРАТИВНИ ПРИЛОЖНИ СПЕЦИАЛИСТИ
331;Приложни специалисти по финанси и математика
3311;Дилъри на ценни книжа и финансови посредници
3312;Кредитни специалисти
3313;Оперативни счетоводители
3314;Приложни специалисти по статистика, математика и сродни на тях
3315;Оценители на имущество и щети
332;Посредници в търговията и продажбите
3321;Застрахователни агенти
3322;Търговски представители
3323;Търговски представители по закупуване на стоки
3324;Търговски посредници
333;Посредници в бизнес услугите
3331;Агенти по спедиция на товари
3332;Организатори на конференции и събития
3333;Трудови посредници
3334;Агенти на недвижими имоти и управление на собственост
3339;Посредници в бизнес услугите, н.д.
334;Административни приложни специалисти
3341;Офис мениджъри
3342;Правни секретари
3343;Административни и изпълнителни секретари
3344;Медицински секретари
335;Приложни специалисти в държавната администрация
3351;Митнически и гранични инспектори
3352;Служители в държавната администрация, извършващи данъчен и финансов контрол
3353;Служители в държавната администрация по социално подпомагане и социално осигуряване
3354;Служители в държавната администрация, издаващи разрешителни и лицензии
3355;Полицейски инспектори и оперативни работници
3359;Приложни специалисти в държавната администрация, н.д.
34;ДРУГИ ПРИЛОЖНИ СПЕЦИАЛИСТИ
341;Приложни специалисти по юридически и социални дейности, религиозни служители
3411;Приложни специалисти по юридически дейности и сродни на тях
3412;Приложни специалисти по социална работа
3413;Религиозни служители
342;Спортисти и работещи в областта на спорта
3421;Атлети и състезатели
3422;Спортни треньори, инструктори и сродни на тях
3423;Фитнес инструктори и ръководители на програми за отдих и спорт
343;Приложни специалисти в областта на изкуствата, културата и кулинарството
3431;Фотографи
3432;Интериорни дизайнери и декоратори
